datathrough,confonly,teamname,season,efg_pct,rankefg_pct,to_pct,rankto_pct,or_pct,rankor_pct,ft_rate,rankft_rate,defg_pct,rankdefg_pct,dto_pct,rankdto_pct,dor_pct,rankdor_pct,dft_rate,rankdft_rate,oe,rankoe,de,rankde,tempo,ranktempo,adjoe,rankadjoe,adjde,rankadjde,adjtempo,rankadjtempo,source_name,endpoint,processed_at_utc,processed_at_local
"Sunday, February 1",true,Eastern Washington,2026,49.71,10,17.862,8,33.893,1,36.486,6,51.423,4,16.042,5,32.13,9,40.447,6,110.477,8,111.139,5,67.1833,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Elon,2026,54.798,2,15.654,6,29.942,10,31.65,8,53.676,11,16.669,6,34.67,12,29.412,2,112.915,4,114.799,10,68.99,5,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Evansville,2026,49.415,7,20.736,11,20.867,11,28.595,10,52.882,8,14.397,10,26.385,3,34.112,5,94.9645,11,109.757,7,68.0615,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Fairfield,2026,47.772,9,15.348,5,38.235,2,27.475,9,51.771,8,17.339,4,29.717,5,29.155,5,108.722,5,108.137,8,65.6577,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Fairleigh Dickinson,2026,48.905,8,15.751,4,30.836,3,37.774,2,53.143,8,17.311,5,24.567,2,38.507,8,107.141,4,108.076,6,63.3593,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,FIU,2026,50.503,6,17.617,10,33.152,6,42.785,4,53.667,12,19.819,1,32.329,10,36.5,6,106.665,7,108.592,8,71.8046,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Florida,2026,53.75,3,12.749,3,41.108,2,35.167,9,48.488,3,15.548,6,23.03,1,36.673,5,123.137,1,101.837,1,71.4653,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Florida A&M,2026,53.444,3,22.911,12,33.865,2,38.48,9,48.317,2,18.404,6,26.848,2,43.029,8,107.045,5,101.599,2,66.5609,12,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Florida Atlantic,2026,53.63,3,19.667,12,33.144,9,35.479,8,47.3,3,16.954,5,28.827,1,39.771,9,108.372,7,102.947,3,73.7275,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Florida Gulf Coast,2026,53.24,8,17.279,10,28.788,7,31.524,9,51.839,2,15.211,7,28.0,5,36.778,8,109.286,9,110.024,5,67.7125,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
